Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2023,JAN 2024,FEB 2024,MAR 2024,APR 2024,MAY 2024,JUN 2024,JULY 2024,AUG 2024,SEP 2024,OCT 2024,NOV 2024,ANNUAL TOTAL,,,,,
aiMotive Inc.,AVT036,4T1B21HK3KU514477,75,485.01,526.06,601.46,142.53,27.51,0.19,0.00,0.00,0.00,64.20,11.19,22.22,"1,880.37",,,,,
aiMotive Inc.,AVT036,1C4RJYB64P8914902,68,5.48,332.43,0.00,185.78,445.60,78.01,0.11,0.00,0.00,46.64,50.26,105.67,"1,249.98",,,,,
aiMotive Inc.,AVT036,4T1B21HK6KU514747,45,170.80,71.61,0.00,0.00,15.34,0.00,0.00,0.00,0.00,205.33,151.10,0.00,614.18,,,,,
Apollo,AVT015,3LN6L5LU2HR615153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
Apollo,AVT015,2C4RC1N77LR190366,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
Apollo,AVT015,2C4RC1N71LR252232,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
Apollo,AVT015,3LN6L2LU4GR629715,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
Apollo,AVT015,3LN6L5LU1HR627987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
Apollo,AVT015,3LN6L2LU5GR607996,0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,,,,,
Apple Inc.,AVT030,2T2BGMCA0GC007400,2,0.6,1442.3,557.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.7,,,,,
Apple Inc.,AVT030,2T2BGMCA0GC007946,10,1321.6,2576.9,1950.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5848.6,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC019225,16,1720.2,2542.1,1362.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5624.9,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC019919,9,2117.5,566.0,1156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840.1,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC020083,1,0.1,0.8,306.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.1,,,,,
Apple Inc.,AVT030,2T2BGMCA1GC008135,10,1667.4,1943.3,1090.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4701.6,,,,,
Apple Inc.,AVT030,2T2BGMCA2HC012521,6,566.6,1137.2,1365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068.8,,,,,
Apple Inc.,AVT030,2T2BGMCA2HC019338,10,1343.8,1828.7,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4350.5,,,,,
Apple Inc.,AVT030,2T2BGMCA2HC019890,8,992.0,2189.5,1800.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4981.6,,,,,
Apple Inc.,AVT030,2T2BGMCA2HC019968,7,1908.4,900.3,2503.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5311.9,,,,,
